Coin,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,total
HYPE,433139.48,791672.58,239416.23,134752.43,93945.46,1692926.19
SOL,16013.81,437851.27,222309.6,460444.64,36673.72,1173293.04
BTC,58928.63,413394.13,124687.92,170904.25,100392.46,868307.39
ETH,133175.64,675769.67,158573.64,-100125.13,-44699.88,822693.95
DOGE,0.0,7848.0,115791.93,3147.2,19235.13,146022.26
ZRO,0.0,3370.86,36165.57,88084.99,341.71,127963.13
BERA,11079.65,-367.0,1263.07,82117.04,0.0,94092.76
USUAL,-2680.0,45696.34,0.0,17324.32,5319.02,65659.69
AIXBT,0.0,10234.73,-289.66,39493.11,0.0,49438.18
AVAX,142.99,202.28,35384.58,12082.95,0.02,47812.81
